"date";"pronostico";"Unidades"
"189";2012-07-07;357.622;619
"190";2012-07-08;7.217;1
"191";2012-07-09;853.859;978
"192";2012-07-10;1097.968;1246
"193";2012-07-11;1205.093;1271
"194";2012-07-12;1220.552;1242
"195";2012-07-13;1343.749;1510
"196";2012-07-14;383.2;390
"197";2012-07-15;7.471;0
"198";2012-07-16;837.29;831
"199";2012-07-17;1076.347;1105
"200";2012-07-18;1140.859;1181
"201";2012-07-19;1232.008;1515
"202";2012-07-20;31.075;23
"203";2012-07-21;358.864;325
"204";2012-07-22;7.692;0
"205";2012-07-23;912.045;875
"206";2012-07-24;1028.495;1094
"207";2012-07-25;1343.128;1386
"208";2012-07-26;1410.352;1298
"209";2012-07-27;1510.416;1400
"210";2012-07-28;473.66;389
"211";2012-07-29;11.402;1
"212";2012-07-30;1452.628;1030
"213";2012-07-31;1437.449;1139
"214";2012-08-01;930.024;1157
"215";2012-08-02;912.373;1242
"216";2012-08-03;1128.748;1315
"217";2012-08-04;336.616;439
"218";2012-08-05;6.991;0
"219";2012-08-06;839.442;959
"220";2012-08-07;23.363;1
"221";2012-08-08;1222.047;1116
"222";2012-08-09;1303.3;1359
"223";2012-08-10;1404.269;1369
"224";2012-08-11;384.65;370
"225";2012-08-12;7.833;21
"226";2012-08-13;934.354;980
"227";2012-08-14;1162.078;1141
"228";2012-08-15;1265.107;1195
"229";2012-08-16;1278.011;1320
"230";2012-08-17;1376.615;1235
"231";2012-08-18;364.147;365
"232";2012-08-19;7.906;0
"233";2012-08-20;21.608;0
"234";2012-08-21;1088.278;809
"235";2012-08-22;1302.419;1036
"236";2012-08-23;1392.115;1223
"237";2012-08-24;1315.415;1113
"238";2012-08-25;428.708;490
"239";2012-08-26;9.051;62
"240";2012-08-27;1050.243;792
"241";2012-08-28;1436.406;1131
"242";2012-08-29;1930.663;1157
"243";2012-08-30;2217.242;1296
"244";2012-08-31;1838.455;1295
"245";2012-09-01;271.714;280
"246";2012-09-02;5.359;1
"247";2012-09-03;718.393;829
"248";2012-09-04;934.366;1008
"249";2012-09-05;1083.559;1035
"250";2012-09-06;1172.793;1368
"251";2012-09-07;1269.602;1281
