FECHA;YEAR;TRM 
13/10/2012;2012;1797.68
17/10/2012;2012;1797.81
18/10/2012;2012;1798.53
19/10/2012;2012;1797.66
20/10/2012;2012;1798.42
23/10/2012;2012;1802.91
24/10/2012;2012;1816.60
25/10/2012;2012;1817.25
26/10/2012;2012;1816.97
27/10/2012;2012;1823.18
30/10/2012;2012;1830.45
31/10/2012;2012;1829.89
1/11/2012;2012;1831.25
2/11/2012;2012;1825.50
3/11/2012;2012;1828.80
7/11/2012;2012;1814.99
8/11/2012;2012;1814.83
9/11/2012;2012;1814.21
10/11/2012;2012;1816.99
14/11/2012;2012;1819.30
15/11/2012;2012;1818.20
16/11/2012;2012;1822.61
17/11/2012;2012;1823.46
20/11/2012;2012;1817.67
21/11/2012;2012;1815.58
22/11/2012;2012;1815.76
24/11/2012;2012;1820.18
27/11/2012;2012;1824.12
28/11/2012;2012;1823.54
29/11/2012;2012;1825.08
30/11/2012;2012;1817.93
1/12/2012;2012;1813.72
4/12/2012;2012;1813.73
5/12/2012;2012;1813.57
6/12/2012;2012;1811.05
7/12/2012;2012;1803.69
8/12/2012;2012;1797.45
11/12/2012;2012;1799.40
12/12/2012;2012;1801.50
13/12/2012;2012;1796.31
14/12/2012;2012;1795.05
15/12/2012;2012;1798.37
18/12/2012;2012;1796.98
19/12/2012;2012;1794.14
20/12/2012;2012;1790.46
21/12/2012;2012;1788.87
22/12/2012;2012;1779.79
25/12/2012;2012;1773.44
27/12/2012;2012;1771.49
28/12/2012;2012;1771.54
29/12/2012;2012;1768.23
3/01/2013;2013;1759.97
4/01/2013;2013;1760.83
5/01/2013;2013;1767.54
9/01/2013;2013;1771.31
10/01/2013;2013;1767.96
11/01/2013;2013;1761.50
12/01/2013;2013;1762.38
15/01/2013;2013;1758.45
16/01/2013;2013;1769.88
17/01/2013;2013;1775.15
18/01/2013;2013;1767.78
19/01/2013;2013;1767.74
23/01/2013;2013;1776.96
24/01/2013;2013;1778.69
25/01/2013;2013;1779.73
26/01/2013;2013;1779.25
29/01/2013;2013;1779.84
30/01/2013;2013;1776.09
31/01/2013;2013;1773.24
1/02/2013;2013;1775.65
2/02/2013;2013;1776.20
5/02/2013;2013;1785.92
6/02/2013;2013;1789.09
7/02/2013;2013;1791.24
8/02/2013;2013;1795.21
9/02/2013;2013;1790.61
12/02/2013;2013;1784.71
13/02/2013;2013;1783.20
14/02/2013;2013;1777.72
15/02/2013;2013;1783.19
16/02/2013;2013;1785.41
20/02/2013;2013;1794.63
21/02/2013;2013;1791.33
22/02/2013;2013;1798.21
23/02/2013;2013;1800.70
26/02/2013;2013;1806.11
27/02/2013;2013;1818.54
28/02/2013;2013;1816.42
1/03/2013;2013;1814.28
2/03/2013;2013;1816.48
5/03/2013;2013;1813.53
6/03/2013;2013;1809.65
7/03/2013;2013;1808.00
8/03/2013;2013;1803.65
9/03/2013;2013;1800.45
12/03/2013;2013;1801.20
13/03/2013;2013;1801.64
14/03/2013;2013;1798.56
15/03/2013;2013;1797.28
16/03/2013;2013;1804.06
19/03/2013;2013;1809.58
20/03/2013;2013;1809.83
21/03/2013;2013;1812.35
22/03/2013;2013;1822.78
23/03/2013;2013;1825.79
27/03/2013;2013;1828.95
28/03/2013;2013;1832.20
2/04/2013;2013;1823.12
3/04/2013;2013;1817.14
4/04/2013;2013;1819.93
5/04/2013;2013;1829.01
6/04/2013;2013;1826.88
9/04/2013;2013;1817.66
10/04/2013;2013;1813.11
11/04/2013;2013;1821.20
12/04/2013;2013;1823.84
13/04/2013;2013;1827.79
16/04/2013;2013;1834.86
17/04/2013;2013;1833.98
18/04/2013;2013;1846.46
19/04/2013;2013;1847.02
20/04/2013;2013;1835.57
23/04/2013;2013;1841.14
24/04/2013;2013;1838.03
25/04/2013;2013;1836.79
26/04/2013;2013;1830.84
27/04/2013;2013;1833.70
30/04/2013;2013;1828.79
1/05/2013;2013;1825.83
3/05/2013;2013;1836.34
4/05/2013;2013;1835.88
7/05/2013;2013;1831.42
8/05/2013;2013;1827.13
9/05/2013;2013;1830.70
10/05/2013;2013;1833.07
11/05/2013;2013;1834.83
15/05/2013;2013;1838.63
16/05/2013;2013;1843.75
17/05/2013;2013;1838.82
18/05/2013;2013;1841.35
21/05/2013;2013;1842.59
22/05/2013;2013;1846.76
23/05/2013;2013;1850.55
24/05/2013;2013;1864.02
25/05/2013;2013;1874.10
29/05/2013;2013;1897.10
30/05/2013;2013;1894.13
31/05/2013;2013;1891.48
1/06/2013;2013;1907.76
5/06/2013;2013;1894.40
6/06/2013;2013;1899.08
7/06/2013;2013;1907.88
8/06/2013;2013;1898.80
12/06/2013;2013;1907.12
13/06/2013;2013;1897.53
14/06/2013;2013;1895.01
15/06/2013;2013;1882.38
18/06/2013;2013;1883.57
19/06/2013;2013;1902.47
20/06/2013;2013;1900.87
21/06/2013;2013;1937.26
22/06/2013;2013;1941.06
25/06/2013;2013;1942.97
26/06/2013;2013;1928.27
27/06/2013;2013;1921.86
28/06/2013;2013;1922.63
29/06/2013;2013;1929.00
3/07/2013;2013;1919.42
4/07/2013;2013;1915.45
6/07/2013;2013;1927.40
9/07/2013;2013;1926.84
10/07/2013;2013;1920.12
11/07/2013;2013;1920.24
12/07/2013;2013;1910.79
13/07/2013;2013;1905.25
16/07/2013;2013;1893.16
17/07/2013;2013;1878.42
